type,priority,action,category,title,url,publishedDate,sourceFile,googleStatus,naverStatus,bingStatus,lastRequestedAt,result,notes
CATEGORY,NORMAL,SITEMAP_ONLY,pet-family,"반려·가족","https://www.pageoneworks.com/category/pet-family",,lib/data.ts,PENDING,PENDING,PENDING,,,
CATEGORY,NORMAL,SITEMAP_ONLY,global-trend,"글로벌 트렌드","https://www.pageoneworks.com/category/global-trend",,lib/data.ts,PENDING,PENDING,PENDING,,,
ARTICLE,HIGH,REINDEX_NOW,drive-tech,"LLMEO란 무엇인가 — AI가 검색을 대체하는 시대의 새로운 최적화 전략 2026","https://www.pageoneworks.com/article/llmeo-ai-search-strategy-2026",2026.06.16,lib/articles/drive-tech.ts,PENDING,PENDING,PENDING,,,"대표 아티클 재색인 대상"
ARTICLE,HIGH,REINDEX_NOW,vitality,"임신중절수술 비용·방법·합법·조건 2026 완전 가이드 — 주수별 가격 총정리","https://www.pageoneworks.com/article/abortion-cost-method-legal-2026",2026.06.10,lib/articles/vitality.ts,PENDING,PENDING,PENDING,,,"대표 아티클 재색인 대상"
ARTICLE,HIGH,REINDEX_NOW,sports-health,"체지방 감량에 HIIT vs 저강도 유산소 — 무엇이 더 효과적인가 2026","https://www.pageoneworks.com/article/hiit-vs-liss-fat-loss-2026",2026.06.09,lib/articles/sports-health.ts,PENDING,PENDING,PENDING,,,"대표 아티클 재색인 대상"
ARTICLE,NORMAL,CHECK_INDEX,culture-art,"10년 뒤에도 읽히는 비소설 30권 — 인생을 바꾸는 책 완전 가이드 2026","https://www.pageoneworks.com/article/books-that-change-your-life-nonfiction-2026",2026.06.05,lib/articles/culture-art.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,culture-art,"서울 전시회 추천 2026 — 지금 꼭 봐야 할 전시 완전 가이드","https://www.pageoneworks.com/article/seoul-exhibition-2026",2026.05.27,lib/articles/culture-art.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,sports-health,"8시간 자도 피곤한 이유 — 수면의 질 높이는 법 2026 완전 가이드","https://www.pageoneworks.com/article/sleep-quality-guide-2026",2026.06.05,lib/articles/sports-health.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,sports-health,"런닝 무릎 통증 원인과 예방법 2026 — 러너 무릎 완전 가이드","https://www.pageoneworks.com/article/running-knee-pain",2026.05.27,lib/articles/sports-health.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,pet-family,"강아지 슬개골 탈구 완전 가이드 — 증상·수술·예방·재활까지","https://www.pageoneworks.com/article/dog-patellar-luxation-guide-2026",2026.06.09,lib/articles/pet-family.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,pet-family,"강아지 사료 성분표 읽는 법 2026 완전 가이드 — 좋은 사료 고르는 기준 총정리","https://www.pageoneworks.com/article/dog-food-ingredients-guide-2026",2026.06.05,lib/articles/pet-family.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,pet-family,"강아지 펫보험 2026 완전 가이드 — 보험사별 보장·가격 비교","https://www.pageoneworks.com/article/dog-insurance-2026",2026.05.27,lib/articles/pet-family.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,drive-tech,"아이폰 17 vs 갤럭시 S26 — 6개월 실사용 비교 2026 완전판","https://www.pageoneworks.com/article/iphone-galaxy-comparison-2026",2026.06.09,lib/articles/drive-tech.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,drive-tech,"GEO 완전 가이드 2026 — 구글 AI 오버뷰·네이버 AI 브리핑·ChatGPT 답변에 내 브랜드 이름이 등장하는 법","https://www.pageoneworks.com/article/geo-generative-engine-optimization-complete-guide-2026",2026.05.26,lib/articles/drive-tech.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,drive-tech,"전기차 보조금 2026 완전 가이드 — 차종별·지역별 실수령액 총정리","https://www.pageoneworks.com/article/ev-subsidy-2026",2026.05.27,lib/articles/drive-tech.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,drive-tech,"현대 아이오닉9 2026 완전 정리 — 가격·주행거리·실구매 전략","https://www.pageoneworks.com/article/ioniq9-review",2026.05.27,lib/articles/drive-tech.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,drive-tech,"테슬라 모델Y 주니퍼 2026 완전 가이드 — 가격·보조금·충전·실구매비용 초보자도 한번에 이해","https://www.pageoneworks.com/article/tesla-modely-juniper-price-subsidy-guide-2026",2026.05.18,lib/articles/drive-tech.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,drive-tech,"ChatGPT·Gemini·Claude·Manus·Perplexity 완전 비교 2026 — 5대 AI 장단점·가격·용도별 추천 총정리","https://www.pageoneworks.com/article/chatgpt-gemini-claude-manus-perplexity-comparison-2026",2026.05.08,lib/articles/drive-tech.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,drive-tech,"SEO는 선택, AIEO는 생존 — ChatGPT·클로드·퍼플렉시티가 추천하는 브랜드가 되는 법","https://www.pageoneworks.com/article/seo-aieo-complete-guide-2026",2026.04.22,lib/articles/drive-tech.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,drive-tech,"자율주행과 AI 혁명: 모빌리티의 현재와 미래","https://www.pageoneworks.com/article/autonomous-mobility-ai",2026.03.09,lib/articles/drive-tech.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,drive-tech,"경기도 광주 수입차 사고수리 — 카앤가이 전문 가이드","https://www.pageoneworks.com/article/carnguy-import-car-repair-guide",2026.03.17,lib/articles/drive-tech.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,drive-tech,"웨비나 플랫폼의 모든 것: 온라인 컨퍼런스·라이브 스트리밍 커스터마이징 전문기업 페이지원웍스","https://www.pageoneworks.com/article/pageoneworks-webinar-platform",2026.03.27,lib/articles/drive-tech.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,properties,"청약통장 해지하면 안 되는 이유 — 모르면 수천만원 손해","https://www.pageoneworks.com/article/subscription-account",2026.05.27,lib/articles/properties.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,properties,"강남 청약 전략 2026 완전 가이드 — 가점 계산·추천 단지·당첨 조건·분양가 총정리","https://www.pageoneworks.com/article/gangnam-apartment-cheongak-strategy-guide-2026",2026.05.18,lib/articles/properties.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,properties,"압구정5구역 재건축 전쟁 2026 — 현대건설 vs DL이앤씨, 1.5조 초대형 수주전의 모든 것","https://www.pageoneworks.com/article/apgujeong5-reconstruction-hyundai-dl-war-2026",2026.04.29,lib/articles/properties.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,properties,"익스클루시브: 국내 프리미엄 부동산의 새 기준","https://www.pageoneworks.com/article/premium-real-estate-trends",2026.03.10,lib/articles/properties.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,properties,"2026 내 집 마련 완전 가이드: 청약·공공분양·정책대출 무주택자 실전 전략","https://www.pageoneworks.com/article/first-home-buying-guide-2026-cheongak",2026.04.07,lib/articles/properties.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,properties,"압구정3구역 재건축 2026 완전 가이드 — 정비계획 고시 이후 투자 전략 총정리","https://www.pageoneworks.com/article/apgujeong-3-district-redevelopment-guide-2026",2026.04.20,lib/articles/properties.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,legal-finance,"법인 설립 직접 하면 얼마나 들까 — 비용·절차·주의사항 완전 정리","https://www.pageoneworks.com/article/company-registration-cost",2026.05.27,lib/articles/legal-finance.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,legal-finance,"종합소득세 신고 2026 완전 가이드 — 프리랜서·유튜버·N잡러 절세 전략 총정리","https://www.pageoneworks.com/article/comprehensive-income-tax-filing-guide-2026",2026.05.08,lib/articles/legal-finance.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,legal-finance,"코스피 6600 시대, 돈의 흐름이 바뀌고 있다 — 주식과 부동산 동시 상승의 메커니즘과 자산가의 선택","https://www.pageoneworks.com/article/kospi-6600-stocks-realestate-money-flow-2026",2026.04.29,lib/articles/legal-finance.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,legal-finance,"트럼프 관세 전쟁 1년 — 자산가가 지금 반드시 알아야 할 포트폴리오 방어 전략","https://www.pageoneworks.com/article/trump-tariff-war-asset-strategy-2026",2026.04.22,lib/articles/legal-finance.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,legal-finance,"2026년 글로벌 자산관리 전략 가이드","https://www.pageoneworks.com/article/global-asset-management-2026",2026.03.08,lib/articles/legal-finance.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,legal-finance,"미국·이란 전쟁 2026: 한국 경제와 산업 전반에 미치는 파장","https://www.pageoneworks.com/article/us-iran-war-korea-economy-2026",2026.04.06,lib/articles/legal-finance.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,legal-finance,"2026 종합소득세·부가세 완전정복 — 프리랜서·자영업자·직장인이 꼭 알아야 할 세금 계산기 & 절세 전략","https://www.pageoneworks.com/article/tax-vat-calculator-complete-2026",2026.04.17,lib/articles/legal-finance.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,vitality,"탈모 초기 증상, 지금 당장 확인해야 할 신호들","https://www.pageoneworks.com/article/hair-loss-signs",2026.05.27,lib/articles/vitality.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,vitality,"탈모 치료 2026 완전 가이드 — 미녹시딜·두타스테리드·모발이식 효과·비용·부작용 총정리","https://www.pageoneworks.com/article/hair-loss-treatment-minoxidil-dutasteride-guide-2026",2026.05.18,lib/articles/vitality.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,vitality,"NMN 항노화 열풍의 진실 — 효능 과장인가 혁명인가, 2026년 임상 근거 완전 정리","https://www.pageoneworks.com/article/nmn-antiaging-truth-clinical-evidence-2026",2026.04.29,lib/articles/vitality.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,vitality,"세포 재생의 미래: 2026년 안티에이징 혁명","https://www.pageoneworks.com/article/future-of-anti-aging-2026",2026.03.13,lib/articles/vitality.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,vitality,"위고비·오젬픽·마운자로 완전 가이드: 비만 치료제 혁명의 진실","https://www.pageoneworks.com/article/glp1-obesity-drug-complete-guide-2026",2026.04.07,lib/articles/vitality.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,vitality,"FDA가 20년간 붙어있던 경고를 뗐다 — 갱년기 호르몬 치료(HRT), 지금 받아도 되는가","https://www.pageoneworks.com/article/menopause-hrt-complete-guide-2026",2026.04.14,lib/articles/vitality.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,vitality,"임신주수 계산기 — 지금 몇 주인지, 태아 크기 + 임신중절 주수까지","https://www.pageoneworks.com/article/pregnancy-week-calculator",2026.04.16,lib/articles/vitality.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,global-trend,"2026 직장인이 지금 당장 배워야 할 AI 툴 5가지 — 업무 생산성 300% 높이는 법","https://www.pageoneworks.com/article/ai-tools-workers-2026",2026.06.09,lib/articles/global-trend.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,global-trend,"AI가 내 직업을 빼앗는다고? — 직종별 생존 전략 2026 완전 가이드","https://www.pageoneworks.com/article/ai-job-replacement-survival-strategy-2026",2026.06.05,lib/articles/global-trend.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,global-trend,"AI 시대 직업 변화 2026 — 살아남는 직군과 사라지는 직군 완전 분석","https://www.pageoneworks.com/article/ai-job-market-2026",2026.05.27,lib/articles/global-trend.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,lifestyle-travel,"제주도 렌트카 없이 여행하기 2026 — 버스·택시·전기자전거 완전 가이드","https://www.pageoneworks.com/article/jeju-no-car",2026.05.27,lib/articles/lifestyle.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,lifestyle-travel,"몰디브 풀빌라 완벽 가이드 2026 — 수상방갈로 예약법·항공·최적 시즌·리조트별 가격 총정리","https://www.pageoneworks.com/article/maldives-pool-villa-complete-guide-2026",2026.05.13,lib/articles/lifestyle.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,lifestyle-travel,"제주도 갈 돈이면 일본 간다 — 규슈 골프 원정 완전 가이드 2026, 비행 1시간 그린피 반값의 진실","https://www.pageoneworks.com/article/kyushu-golf-trip-complete-guide-2026",2026.04.29,lib/articles/lifestyle.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,lifestyle-travel,"아트 바젤 홍콩 2026: 주목할 작품과 컬렉팅 가이드","https://www.pageoneworks.com/article/art-basel-hong-kong-2026",2026.03.05,lib/articles/lifestyle.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,lifestyle-travel,"미쉐린 서울 2026: 새로운 별들의 등장","https://www.pageoneworks.com/article/michelin-seoul-2026",2026.03.12,lib/articles/lifestyle.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,education,"서울대 수능 없이 입학하는 방법 2026 — 수시·편입 전형별 완전 가이드","https://www.pageoneworks.com/article/snu-no-suneung",2026.05.27,lib/articles/education.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,education,"조기유학 완전 가이드 2026 — 미국·영국·캐나다 보딩스쿨 비용·입학·생활 총정리","https://www.pageoneworks.com/article/early-study-abroad-boarding-school-guide-2026",2026.05.13,lib/articles/education.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,education,"아이비리그 입시 전략 2026: 합격의 공식","https://www.pageoneworks.com/article/ivy-league-admission-2026",2026.03.10,lib/articles/education.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,education,"한국 국제학교 완전 가이드 2026","https://www.pageoneworks.com/article/international-school-korea-2026",2026.03.05,lib/articles/education.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,education,"글로벌 MBA 랭킹과 전략 2026: 어디서 무엇을 배울 것인가","https://www.pageoneworks.com/article/mba-ranking-2026",2026.02.25,lib/articles/education.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,beauty-wellness,"보톡스 효과 지속기간 2026 — 부위별·시술소별 실제 차이","https://www.pageoneworks.com/article/botox-duration",2026.05.27,lib/articles/beauty-wellness.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,beauty-wellness,"울쎄라·슈링크·더블로·인모드 리프팅 시술 2026 완전 비교 — 가격·효과·유지기간·통증·추천대상 총정리","https://www.pageoneworks.com/article/ulthera-shrink-doublo-inmode-lifting-comparison-2026",2026.05.13,lib/articles/beauty-wellness.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,beauty-wellness,"2026 클린뷰티 혁명: 성분부터 철학까지","https://www.pageoneworks.com/article/clean-beauty-revolution-2026",2026.02.18,lib/articles/beauty-wellness.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,beauty-wellness,"서울 프리미엄 피부과 가이드 2026","https://www.pageoneworks.com/article/seoul-premium-dermatology-2026",2026.03.01,lib/articles/beauty-wellness.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,beauty-wellness,"서울 럭셔리 스파·웰니스 완전 가이드 2026","https://www.pageoneworks.com/article/seoul-luxury-spa-wellness",2026.02.25,lib/articles/beauty-wellness.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,beauty-wellness,"2026 서울 패션: 조용한 사치에서 서울리즘까지","https://www.pageoneworks.com/article/seoul-fashion-trend-2026",2026.04.07,lib/articles/beauty-wellness.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,food-dining,"강남 오마카세 추천 2026 — 가격대별 TOP 레스토랑 완전 정리","https://www.pageoneworks.com/article/gangnam-omakase",2026.05.27,lib/articles/food-dining.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,food-dining,"서울 파인다이닝 예약 완전 가이드 2026 — 청담·한남·성수 TOP 10 코스·가격·예약법 총정리","https://www.pageoneworks.com/article/seoul-fine-dining-reservation-guide-2026",2026.05.13,lib/articles/food-dining.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,food-dining,"미쉐린 서울 2026: 새로운 별들의 등장","https://www.pageoneworks.com/article/michelin-seoul-food-2026",2026.03.11,lib/articles/food-dining.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,food-dining,"내추럴 와인 완전 정복: 뭘 알아야 할까?","https://www.pageoneworks.com/article/natural-wine-guide-2026",2026.03.06,lib/articles/food-dining.ts,PENDING,PENDING,PENDING,,,
ARTICLE,NORMAL,CHECK_INDEX,food-dining,"오마카세 왜 이렇게 비싸고 왜 이렇게 인기인가","https://www.pageoneworks.com/article/omakase-seoul-2026",2026.02.28,lib/articles/food-dining.ts,PENDING,PENDING,PENDING,,,
